frame.number,frame.time,wlan_radio.signal_db,wlan_radio.channel,wlan.ssid,_ws.col.protocol,ip.ttl,wlan.bssid,wlan.sa,wlan.ta,wlan.ra,wlan.da,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,_ws.col.info,frame.len,frame.time_delta_displayed,ppi_gps.lat,ppi_gps.lon,"ppi_gps.alt"
1,"Mar 14, 2025 13:32:31.727054329 Pakistan Standard Time",,1,Abh Main,802.11,,48:8e:ef:b4:10:08,48:8e:ef:b4:10:08,48:8e:ef:b4:10:08,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,,,,,"Beacon frame, SN=99, FN=0, Flags=........, BI=98, SSID=""Abh Main""",270,0.000000000,,,""
2,"Mar 14, 2025 13:32:31.728480942 Pakistan Standard Time",,1,,802.11,,,,,4c:eb:bd:07:f4:b1,,,,,,,"Acknowledgement, Flags=........",36,0.001426613,,,""
3,"Mar 14, 2025 13:32:31.732175416 Pakistan Standard Time",,1,,802.11,,,,,4c:eb:bd:07:f4:b1,,,,,,,"Acknowledgement, Flags=........",36,0.003694474,,,""
4,"Mar 14, 2025 13:32:31.784839274 Pakistan Standard Time",,1,Abh2,802.11,,b0:4e:26:ec:47:62,b0:4e:26:ec:47:62,b0:4e:26:ec:47:62,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,,,,,"Beacon frame, SN=130, FN=0, Flags=........, BI=100, SSID=""Abh2""",279,0.052663858,,,""
5,"Mar 14, 2025 13:32:31.793111254 Pakistan Standard Time",,1,53971104,802.11,,ff:ff:ff:ff:ff:ff,56:f7:45:6b:50:ff,56:f7:45:6b:50:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,,,,,"Probe Request, SN=512, FN=0, Flags=........, SSID=""53971104""",88,0.008271980,,,""
6,"Mar 14, 2025 13:32:31.793624021 Pakistan Standard Time",,1,<MISSING>,802.11,,ff:ff:ff:ff:ff:ff,56:f7:45:6b:50:ff,56:f7:45:6b:50:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,,,,,"Probe Request, SN=513, FN=0, Flags=........, SSID=Wildcard (Broadcast)",80,0.000512767,,,""
7,"Mar 14, 2025 13:32:31.798670467 Pakistan Standard Time",,1,Abh Main,802.11,,48:8e:ef:b4:10:08,48:8e:ef:b4:10:08,48:8e:ef:b4:10:08,56:f7:45:6b:50:ff,56:f7:45:6b:50:ff,,,,,,"Probe Response, SN=100, FN=0, Flags=....R..., BI=98, SSID=""Abh Main""",264,0.005046446,,,""
8,"Mar 14, 2025 13:32:31.798865671 Pakistan Standard Time",,1,,802.11,,,,,48:8e:ef:b4:10:08,,,,,,,"Acknowledgement, Flags=........",36,0.000195204,,,""
9,"Mar 14, 2025 13:32:31.818632725 Pakistan Standard Time",,1,,802.11,,,,48:8e:ef:b4:10:08,6e:95:b8:26:0f:8b,,,,,,,"Request-to-send, Flags=........",42,0.019767054,,,""
10,"Mar 14, 2025 13:32:31.821115207 Pakistan Standard Time",,1,,802.11,,,,48:8e:ef:b4:10:08,6e:95:b8:26:0f:8b,,,,,,,"Request-to-send, Flags=........",42,0.002482482,,,""
11,"Mar 14, 2025 13:32:31.827384053 Pakistan Standard Time",,1,Abh Main,802.11,,48:8e:ef:b4:10:08,48:8e:ef:b4:10:08,48:8e:ef:b4:10:08,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,,,,,"Beacon frame, SN=101, FN=0, Flags=........, BI=98, SSID=""Abh Main""",270,0.006268846,,,""
12,"Mar 14, 2025 13:32:31.869187716 Pakistan Standard Time",,1,,802.11,,,,48:8e:ef:b4:10:08,6e:95:b8:26:0f:8b,,,,,,,"Request-to-send, Flags=........",42,0.041803663,,,""
13,"Mar 14, 2025 13:32:31.869609676 Pakistan Standard Time",,1,,802.11,,,,48:8e:ef:b4:10:08,6e:95:b8:26:0f:8b,,,,,,,"Request-to-send, Flags=........",42,0.000421960,,,""
14,"Mar 14, 2025 13:32:31.869916081 Pakistan Standard Time",,1,,802.11,,,,48:8e:ef:b4:10:08,6e:95:b8:26:0f:8b,,,,,,,"Request-to-send, Flags=........",42,0.000306405,,,""
15,"Mar 14, 2025 13:32:31.887174672 Pakistan Standard Time",,1,Abh2,802.11,,b0:4e:26:ec:47:62,b0:4e:26:ec:47:62,b0:4e:26:ec:47:62,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,,,,,"Beacon frame, SN=131, FN=0, Flags=........, BI=100, SSID=""Abh2""",279,0.017258591,,,""
16,"Mar 14, 2025 13:32:31.894191476 Pakistan Standard Time",,1,,802.11,,,,48:8e:ef:b4:10:08,6e:95:b8:26:0f:8b,,,,,,,"Request-to-send, Flags=........",42,0.007016804,,,""
17,"Mar 14, 2025 13:32:31.894206577 Pakistan Standard Time",,1,,802.11,,,,48:8e:ef:b4:10:08,6e:95:b8:26:0f:8b,,,,,,,"Request-to-send, Flags=........",42,0.000015101,,,""
18,"Mar 14, 2025 13:32:31.899879792 Pakistan Standard Time",,1,53971104,802.11,,ff:ff:ff:ff:ff:ff,56:f7:45:6b:50:ff,56:f7:45:6b:50:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,,,,,"Probe Request, SN=514, FN=0, Flags=........, SSID=""53971104""",88,0.005673215,,,""
19,"Mar 14, 2025 13:32:31.901341070 Pakistan Standard Time",,1,<MISSING>,802.11,,ff:ff:ff:ff:ff:ff,56:f7:45:6b:50:ff,56:f7:45:6b:50:ff,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,,,,,"Probe Request, SN=515, FN=0, Flags=........, SSID=Wildcard (Broadcast)",80,0.001461278,,,""
20,"Mar 14, 2025 13:32:31.903787117 Pakistan Standard Time",,1,Abh2,802.11,,b0:4e:26:ec:47:62,b0:4e:26:ec:47:62,b0:4e:26:ec:47:62,56:f7:45:6b:50:ff,56:f7:45:6b:50:ff,,,,,,"Probe Response, SN=132, FN=0, Flags=........, BI=100, SSID=""Abh2""",378,0.002446047,,,""
21,"Mar 14, 2025 13:32:31.908110782 Pakistan Standard Time",,1,Abh2,802.11,,b0:4e:26:ec:47:62,b0:4e:26:ec:47:62,b0:4e:26:ec:47:62,56:f7:45:6b:50:ff,56:f7:45:6b:50:ff,,,,,,"Probe Response, SN=133, FN=0, Flags=........, BI=100, SSID=""Abh2""",378,0.004323665,,,""
22,"Mar 14, 2025 13:32:31.911353169 Pakistan Standard Time",,1,Abh2,802.11,,b0:4e:26:ec:47:62,b0:4e:26:ec:47:62,b0:4e:26:ec:47:62,56:f7:45:6b:50:ff,56:f7:45:6b:50:ff,,,,,,"Probe Response, SN=134, FN=0, Flags=........, BI=100, SSID=""Abh2""",378,0.003242387,,,""
23,"Mar 14, 2025 13:32:31.927688234 Pakistan Standard Time",,1,Abh Main,802.11,,48:8e:ef:b4:10:08,48:8e:ef:b4:10:08,48:8e:ef:b4:10:08,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,,,,,"Beacon frame, SN=102, FN=0, Flags=........, BI=98, SSID=""Abh Main""",270,0.016335065,,,""
24,"Mar 14, 2025 13:32:31.944717560 Pakistan Standard Time",,1,<MISSING>,802.11,,70:4f:57:aa:c1:f2,70:4f:57:aa:c1:f2,70:4f:57:aa:c1:f2,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,,,,,"Beacon frame, SN=3082, FN=0, Flags=........, BI=100, SSID=Wildcard (Broadcast)",224,0.017029326,,,""
25,"Mar 14, 2025 13:32:31.989592976 Pakistan Standard Time",,1,Abh2,802.11,,b0:4e:26:ec:47:62,b0:4e:26:ec:47:62,b0:4e:26:ec:47:62,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,,,,,"Beacon frame, SN=135, FN=0, Flags=........, BI=100, SSID=""Abh2""",279,0.044875416,,,""
26,"Mar 14, 2025 13:32:32.028067738 Pakistan Standard Time",,1,Abh Main,802.11,,48:8e:ef:b4:10:08,48:8e:ef:b4:10:08,48:8e:ef:b4:10:08,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,,,,,"Beacon frame, SN=103, FN=0, Flags=........, BI=98, SSID=""Abh Main""",270,0.038474762,,,""
27,"Mar 14, 2025 13:32:32.036930223 Pakistan Standard Time",,1,,802.11,,,,48:8e:ef:b4:10:08,6e:95:b8:26:0f:8b,,,,,,,"Request-to-send, Flags=........",42,0.008862485,,,""
28,"Mar 14, 2025 13:32:32.037646586 Pakistan Standard Time",,1,,802.11,,,,48:8e:ef:b4:10:08,6e:95:b8:26:0f:8b,,,,,,,"Request-to-send, Flags=........",42,0.000716363,,,""
